,mean,mean,mean
,rating,rating_IMDB,rating_kinopoisk
genres,,,
Anthology,4.0,9.0,8.0
Crime,2.0,3.0,5.0
Documentary;,4.0,8.0,7.0
Nature,4.232558139534884,8.30232558139535,7.813953488372093
Stop-Motion,4.0,7.0,6.0
Tech/Игровой,4.5,6.5,5.5
Автомобили/Транспорт,4.0,6.5,6.25
Аниме,3.835570469798658,6.723154362416107,6.427852348993288
Антология,3.5,6.958333333333333,6.291666666666667
Боевик,3.7675225537820958,6.617626648160999,6.353920888272033
Вестерн,3.2,6.8,6.4
Военный,3.769230769230769,6.153846153846154,6.3076923076923075
Дебаты,4.0,6.0,6.0
Детектив,3.7674418604651163,6.209302325581396,6.372093023255814
Детский,3.828193832599119,6.259911894273127,5.977973568281938
Дизайн,4.5,7.5,7.5
Дикая,5.0,8.0,7.5
Для,3.4210526315789473,6.2105263157894735,6.2105263157894735
Документальный,4.0,6.5,7.5
Драма,3.773049645390071,6.643363728470112,6.579533941236069
Еда,4.0625,6.8125,6.75
Животные,4.0,7.545454545454546,7.090909090909091
Знаменитости,2.814814814814815,5.2592592592592595,5.87037037037037
Интервью,3.4,6.0,5.8
Искусство,4.0,7.5,6.0
Исторический,4.0978260869565215,7.434782608695652,7.163043478260869
Кино/Театр,4.5,7.5,7.5
Комедия,3.775041969781757,6.647453833240067,6.42417459429211
Криминал,3.801875732708089,6.817116060961313,6.577960140679953
Кулинарный/Еда,4.0,6.0,5.0
Медицинский,3.8333333333333335,5.833333333333333,6.166666666666667
Мелодрама,3.0,6.0,6.0
Мода/Make-up,3.6666666666666665,6.0,5.333333333333333
Молодежный,3.5,4.0,5.5
Музыкальный,4.045454545454546,6.2272727272727275,6.590909090909091
Мультфильмы,3.732484076433121,6.382165605095541,5.942675159235669
Мыльные,3.4285714285714284,5.857142857142857,5.857142857142857
Научный,3.9555555555555557,7.4,7.177777777777778
Нет данных,3.757936507936508,6.5476190476190474,6.5
Образовательный,4.125,7.0,7.25
Отношения,3.0,6.0,6.0
Покупки,4.0,3.0,5.0
Политика,3.5,5.5,6.0
Приключения,3.8771929824561404,6.641325536062378,6.514619883040936
Путешествия,4.0,7.166666666666667,7.0
Романтика,3.65,5.85,6.075
Сверхъестественное,4.0,5.666666666666667,7.333333333333333
Сделай,4.0,6.5,6.0
Семейный,3.5522388059701493,5.895522388059701,6.119402985074627
Соревнования,3.6666666666666665,4.666666666666667,5.666666666666667
Спортивный,4.0,7.411764705882353,6.9411764705882355
Стиль,3.9,6.8,6.6
Таланты,4.0,3.0,4.0
Танцевальный,3.5,6.0,6.0
Текущие,3.625,6.125,6.0
Триллер,3.6666666666666665,6.583333333333333,6.083333333333333
Ужасы,3.6216216216216215,6.216216216216216,6.081081081081081
Фантастика,3.6363636363636362,6.484848484848484,6.181818181818182
Финансовый,3.0,7.0,6.0
Фитнес,3.0,5.0,5.0
Фэнтези,3.8823529411764706,6.588235294117647,6.647058823529412
Шпионский,4.0,7.0,6.5
Юридический,4.0,7.0,7.0
